input	output
can you ask @CN@ , when did you arrive	hey @CN@ , @SCN@ wants to know when you arrived
ask @CN@ ,do you live in a rented house?	hi @CN@ , @SCN@ is asking if you live in a rented house
ask @CN@ how to arrange the room	hi @CN@ , @SCN@ asked how to arrange the room.
can you ask @CN@ about the torn jean trend	hi @CN@ , @SCN@ is intreseted in knowing about the torn jean trend
ask @CN@ about her department staff	hey @CN@ , @SCN@ is asking about your department staff
can you ask @CN@ about the invitation	hi @CN@ , @SCN@ asked about the invitation.
ask @CN@ to pick up some coffee on the way home	hi, @CN@. @SCN@ is requesting you to pick up some coffee on the way home.
could you ask @CN@ , are you for dinner?	hey @CN@ , @SCN@ is wondering whether are you for dinner?
tell @CN@ i already let the dog out	hi @CN@, @SCN@ would like you to know that they already let the dog out
can you ask @CN@ to add the new feature	hey @CN@ , @SCN@ is asking you to add the new feature
ask @CN@ ,will you leave soon?	hey @CN@ , @SCN@ would like to know whether you will leave soon?
ask @CN@ to buy the birthday poppers	hi @CN@ , @SCN@ is asking you to buy the birthday poppers
ask @CN@ , how to buy stock	hi @CN@ , @SCN@ would like to know how to buy stock
could you ask @CN@ , do you like to try new food and drinks?	hey @CN@ , @SCN@ would like to know do you like to try new food and drinks?
can you ask @CN@ ,do you get up early every morning	hi @CN@ , @SCN@ asks, do you get up early every morning.
ask @CN@ which color is better	hi @CN@, @SCN@ wants to know which color is better
please ask @CN@ how to defeat the team	hi @CN@ , @SCN@ is curious about how to defeat the team
tell @CN@ , she is from scotland	hey @CN@ , @SCN@ said that they are from scotland
can you ask @CN@ to merge the speadsheet	hi @CN@ , @SCN@ asks you to merge the speadsheet
ask @CN@ , are they waiting for you	hi @CN@ , @SCN@ puzzled if they are waiting for you.
can you tell @CN@ that the stock value are low last week	hey @CN@ , @SCN@ conveys that the stock value are low last week
can you ask @CN@ how to user the blender	hi @CN@ , @SCN@ would like to know how to user the blender
tell @CN@ , laura is not making the beds.	hi @CN@ , @SCN@ wants to tell you laura is not making the beds.
can you ask @CN@ to water the flowers	hi @CN@ , @SCN@ likes you to water the flowers
ask @CN@ about the song	hi @CN@ , @SCN@ asked about the song.
ask @CN@ about the bible	hey @CN@ , @SCN@ wants to know about the bible
ask @CN@ do you speak english	hi @CN@ @SCN@ wants to know do you speak english
ask @CN@ ,would it be better to get a loan?	hi @CN@ , @SCN@ wants to know whether it would be better to get a loan?
ask @CN@ , can you teach programming to the children	hey @CN@ , @SCN@ is wondering if you can teach programming to the children
ask @CN@ ,which color do you choose?	hey @CN@ , @SCN@ needs to know which color do you choose?
ask @CN@, can we meet for a lunch @CN@orrow	hi @CN@, @SCN@ wants to know whether we can meet for a luch @CN@orrow
can you tell @CN@ he has an appointment tomorrow morning?	hi @CN@, @SCN@ says you have an appointment tomorrow morning
ask @CN@ ,how much money do you have?	hi @CN@ , @SCN@ asks how much money do you have?
ask @CN@ ,whom are they looking for?	hi @CN@ , @SCN@ likes to know whom are they looking for?
ask @CN@ about his productive time	hi @CN@ , @SCN@ requests to know about your productive time
ask @CN@, do i look nice	hi @CN@, @SCN@ asks whether i look nice
tell @CN@, paul and sarah have had an argument and now they don't speak to one another.	hi @CN@, @SCN@ tells paul and sarah have had an argument and now they don't speak to one another.
tell @CN@, quiz competition will be conducted on friday	hi @CN@, @SCN@ says quiz competition will be conducted on friday
ask @CN@ do children play with toys?	hey @CN@ @SCN@ is wondering do children play with toys
ask @CN@ , have you ever visited this place	hi @CN@ , @SCN@ needs to know if you have ever visited that place
could you send an s. m. s. to @CN@ that says congrats on the baby	hi @CN@ , @SCN@ says congrats on the baby
can you tell @CN@ that eggs are healthy	hi @CN@ , @SCN@ would like to convey that eggs are healthy
ask @CN@ didn't he shift the load to the workplace?	hi @CN@, @SCN@ is asking didn't he shift the load to the workplace
ask @CN@ does jim have some dumbells	hi @SCN@, @CN@ wants to know if jim has some dumbells
tell @CN@ to select the drivers to be installed today evening	hi @CN@, @SCN@ asks you to select the drivers to be installed today evening
please tell @CN@ not to roam outside	hi @CN@ , @SCN@ wanted you to roam outside.
can you ask @CN@ to do the dishes	hey @CN@ , @SCN@ is requesting you to do the dishes
can you tell @CN@ that the browser history is cleared	hey @CN@ , @SCN@ would like you to know that the browser history is cleared
ask @CN@ , how to write an essay	hi @CN@ , @SCN@ wants to know how to write an essay
can you contact @CN@ and tell her to come to the meeting 10 minutes early today?	good morning @CN@! @SCN@ would like for you to come to the meeting 10 minutes early today.
tell @CN@ that the songs in the movie is good	hey @CN@ , @SCN@ wants to inform you that the songs in the movie is good
can you ask @CN@ to vote for john in the elections	hi @CN@ , @SCN@ is asking you to vote for john in the elections
ask @CN@ how to pour water to the cautus plants	hey @CN@ , @SCN@ wants to know how to pour water to the cautus plants
tell @CN@ that my mom is sick	hey @CN@ , @SCN@ wants to convey that their mom is sick
ask @CN@ , can you help me?	hi @CN@ , @SCN@ queried you, could you help them?
ask @CN@ , are you tired?	hi @CN@ , @SCN@ wants to know whether you are tired.
ask @CN@ ,can you get me a rose ?	hi @CN@ , @SCN@ is asking if you can get them a rose
tell @CN@ , this is the road to take.	hey @CN@ , @SCN@ wants to tell you that this is the road to take.
ask @CN@ what is the most foolish/silly thing you have ever done	hey @CN@ @SCN@ is wondering what is the most foolish/silly thing you have ever done
please ask @CN@ about his availability	hi @CN@ , @SCN@ requests to know about your availability
ask @CN@ , are you currently sitting at a under tree?	hey @CN@ , @SCN@ needs to know if you are currently sitting at a under tree?
ask @CN@ do football players use sticks?	hey @CN@ @SCN@ would like to know do football players use sticks
can you ask @CN@ to check the status of ongoing issue	hey @CN@ , @SCN@ is asking you to check the status of ongoing issue
ask  @CN@  whether she can bring a piece of cake for me tomorrow, that she prepared in her home.	@CN@ want's to know whether you can bring a piece of cake for them, that you prepared in your home.
ask @CN@ ‘have you received the letter?’	hi @CN@ , @SCN@ would like to know have you received the letter?
ask @CN@ ,what did you do that for?	hi @CN@ , @SCN@ wants to know for what did you do that?
ask @CN@ where she wants to go?	hi @CN@, @SCN@ wants to know what place you want to go?
ask @CN@ about his uncle and aunt	hi @CN@ , @SCN@ requests to know about your uncle and aunt
ask @CN@ , are you ok?	hey @CN@ , @SCN@ would like to know if you are ok
can you tell @CN@ to send the data	hi lisa, @SCN@ asks you to send the data
please remind @CN@ to delete her old emails.	hi @CN@, @SCN@s wants you to remember to delete your old emails.
ask @CN@ about the documents required	hi @CN@ , @SCN@ is asking about the documents required
ask @CN@ did you quit the job	hey @CN@ , @SCN@ wants to know whether you quit the job
can you tell @CN@ , where do you live?	hi @CN@ , @SCN@ likes to know where do you live?
ask @CN@ when his party is	hi @CN@ , @SCN@ is asking when your party is
can you ask @CN@ , which place do you like	hey @CN@ , @SCN@ would like to know which place do you like
ask @CN@ ,have you taken your breakfast	hey @CN@ , @SCN@ is wondering if you had taken your breakfast
can you tell @CN@ that blue looks attractive	hi @CN@ , @SCN@ informs that blue looks attractive
ask @CN@ to attend the upcoming special event	hey @CN@ , @SCN@ would like you to attend the upcoming special event
ask @CN@ did you purchase crackers	hey @CN@ , @SCN@ wants to know whether you purchased crackers
ask @CN@ , should i text jane	hi @CN@ , @SCN@ wondered if he should text jane.
tell @CN@ go to the party	hey @CN@ , @SCN@ is asking you to go to the party
please ask @CN@, why do you cry?	hi @CN@, @SCN@ is asking, why do you cry?
can you tell @CN@ that the cat looks cute	hi @CN@ , @SCN@ informs that the cat looks cute
tell @CN@ , some murphy radio are sold in that shop.	hey @CN@ , @SCN@ is saying some murphy radio are sold in that shop.
ask @CN@ , does money grow on trees	hey @CN@ , @SCN@ would like to know if money grows on trees
can you ask @CN@ to prepare breakfast	hi @CN@ , @SCN@ wanted you to prepare breakfast.
confirm if @CN@ is attending the birthday party tomorrow?	hey @CN@, @SCN@ wants to know if you are attending the birthday party tomorrow?
shout out to @CN@ for a job well done	hi @CN@ , @SCN@ says a job well done
can you tell @CN@ that the jogging helps to burn calories	hey @CN@ , @SCN@ says that the jogging helps to burn calories
remind @CN@ to test the new feature in the beginning	@SCN@ reminds to test the new feature in the beginning
ask @CN@ about her long time goal	hey @CN@ , @SCN@ wants to know about your long time goal
can you tell @CN@ that the price quoted was too high	hi @CN@ , @SCN@ notifies that the price quoted was too high
can you tell @CN@ that people value good advice	hi @CN@ , @SCN@ conveys that people value good advice
please let @CN@ know ill be late for dinner.	@SCN@ would like you to know he will be late for dinner.
ask @CN@ ,do you like rainy weather	hey @CN@ , @SCN@ wants to know if you like rainy weather
remind @CN@ to rename the sub file with different names	@SCN@ reminds to rename the sub file with different names
ask @CN@ how to make a smooth surface in garden	hey @CN@ , @SCN@ would like to know how to make a smooth surface in garden
ask @CN@, what did she do today morning	hi @CN@, @SCN@ asked what did you do today morning
ask @CN@ for the documents about the review.	hi @CN@, @SCN@ is asking for the documents about the review.
ask @CN@ what holiday is the most exciting in your country?	@SCN@ wants to know what holiday is the most exciting in your country?
ask @CN@, what kind of classroom setting is the best for you?	hey @CN@, @SCN@ asks what kind of classroom setting is the best for you?
ask @CN@ ,whom are you going to invite?	hi @CN@ , @SCN@ wants to know whom are you going to invite?
could you ask @CN@ , do you know the distance from your home?	hi @CN@ , @SCN@ needs to know if you know the distance from your home
call @CN@ for an inter collegiate carnival	hi @CN@ , @SCN@ invites you for an inter collegiate carnival
ask @CN@ how to cook prawn	hi @CN@ , @SCN@ would like you to cook prawn.
ask @CN@ , can we live together?	hey @CN@ , @SCN@ is wondering if they can live together
can you ask @CN@ how to be good at math	hi @CN@ , @SCN@ is interested to know how to be good at math
ask @CN@ do you think this is funny	hey @CN@ , @SCN@ wishes to know whether you think it funny
can you ask @CN@ to sleep early	hi @CN@ , @SCN@ demanded you to sleep early.
tell @CN@ to eat ice cream	hi @CN@ , @SCN@ apprised you to eat ice cream.
tell @CN@ that the meeting room is already booked in that time slot	hi @CN@, @SCN@ says that the meeting room is already booked in that time slot
ask @CN@ what holiday is the most dangerous in your country?	@SCN@ wants to know what holiday is the most dangerous in your country?
tell @CN@ to stir the coffee	hi @CN@, @SCN@ asks you to stir the coffee
ask @CN@ , how long will he take to dress up?	hi @CN@ , @SCN@ would like to know how long will you take to dress up?
ask @CN@ , how to do cat walk	hey @CN@ , @SCN@ is wondering how to do cat walk
ask @CN@ , can you help me out	hi @CN@ , @SCN@ likes to know if you could help him out
can you tell @CN@ that the girls are studious in the session	hi @CN@ , @SCN@ notifies that the girls are studious in the session
tell @CN@ , she lives in mexico.	hey @CN@ , @SCN@ informs you they live in mexico.
tell @CN@ to join a sports team	hi @CN@ , @SCN@ requests you to join a sports team
can you tell @CN@ that the sandwiches are ready?	@SCN@ wants you to know the sandwiches are ready.
ask @CN@ to shut the window	hi @CN@ , @SCN@ requested you to shut the window.
can you tell @CN@ that the smell is good	hi @CN@ , @SCN@ conveys that the smell is good
ask @CN@ about the data center	hey @CN@ , @SCN@ wants to know about the data center
ask @CN@ to come to the movie	hi @CN@ , @SCN@ would like to invite you for the movie
ask @CN@ , did you go to the function?	hi @CN@ , @SCN@ questions whether you went to the function
tell @CN@ he should not open the living room door	hi @CN@ , @SCN@ says you should not open the living room door
va tell @CN@ he is 90 minutes late!	@CN@, @SCN@ has informed me that you are 90 minutes late!
ask @CN@ how to get of rid of worst memories?	hey @CN@ , @SCN@ asks how to get of rid of worst memories?
ask @CN@ , is it easy to get good grades at your college?	hi @CN@ , @SCN@ wants to know whether it is easy to get good grades at your college?
ask @CN@ , do you like grapes	hi @CN@ , @SCN@ wants to know if you like grapes.
can you ask @CN@ to come directly on that location	hey @CN@ , @SCN@ requests you to come directly on that location
ask @CN@ are you available	hey @CN@ , @SCN@ wishes to know whether you are available
ask @CN@ about the artists he follows	hi @CN@ , @SCN@ requests to know about the artists you follow
can you tell @CN@ that there are more dishes	hi @CN@ , @SCN@ would like to say that there are more dishes
ask @CN@ about the meeting	hey @CN@ , @SCN@ would like to know about the meeting
can you tell @CN@ that the entertainment industry need censor	hi @CN@ , @SCN@ informs you that the entertainment industry need censor
ask @CN@ how to protect from natural disaster	hey @CN@ , @SCN@ would like to know how to protect from natural disaster
ask @CN@ , do you like to watch cartoon?	hey @CN@ , @SCN@ would like to know if you like to watch cartoon?
ask @CN@, when is the best time to grab a drink?	hi @CN@, @SCN@ asks when is the best time to grab a drink?
can you tell @CN@ that people in moon weigh less than people on earth	hi @CN@ , @SCN@ informs you that people in moon weigh less than people on earth
ask @CN@ , are you ok	hi @CN@ , @SCN@ freaked if you are ok.
tell @CN@ i am going to meeting today	hey @CN@ , @SCN@ says they are going to meeting today
ask @CN@ ,when did john arrive	hey @CN@ , @SCN@ wants to know when did john arrive
can you ask @CN@ how much water to be added to soup	hi @CN@ , @SCN@ wanted to know how much water to be added to soup
ask @CN@ , can you taste the cookies which i baked	hey @CN@ , @SCN@ is wondering if you can taste the cookies which they baked
can you tell @CN@ to come back home before 11 pm?	hi @CN@, catherina is asking if you would come back home before 11 pm.
ask @CN@ how to prepare a spreadsheet	hey @CN@ , @SCN@ would like to know how to prepare a spreadsheet
can you please invite @CN@ to my house at 6 for dinner on sunday?	@CN@, @SCN@ invites you to dinner at her house at 6 on sunday.
ask @CN@ , can you arrange a trip to bali	hey @CN@ , @SCN@ would like to know if you can arrange a trip to bali
ask @CN@ about his interest in continuing the job	hi @CN@ , @SCN@ requests to know about your interest in continuing the job
ask @CN@, do you like stripes	hi @CN@, @SCN@ would like to know whether you like stripes
ask @CN@ ,is today your birthday?	hi @CN@ , @SCN@ wants to know whether today is your birthday?
tell @CN@ ,the train was late.	hey @CN@ , @SCN@ is saying the train was late.
ask @CN@ how did he get from here to london	hey @CN@ , @SCN@ wants to know how did you get from here to london
ask @CN@ about the new shop near his home	hey @CN@ , @SCN@ wants to know about the new shop near your home
tell @CN@ to begin the celebration	hi @CN@ , @SCN@ asked to begin the celebration.
tell @CN@ i will use his amazon gift card	hey @CN@ , @SCN@ informs that they will use your amazon gift card
ask @CN@ what is tegestology?	hey @CN@ , @SCN@ is asking what is tegestology
can you tell @CN@ i am practicing to play piano	hey @CN@ , @SCN@ wants to convey that are practicing to play piano
ask @CN@ have the boys eaten	hi @CN@ @SCN@ wants to know have the boys eaten
ask @CN@ to get ready on time	hi @CN@ , @SCN@ is asking you to get ready on time
tell @CN@ ,the boys sang and the girls danced.	hey @CN@ , @SCN@ says the boys sang and the girls danced.
tell @CN@ to see news	hi @CN@ , @SCN@ is asking you to see news
ask @CN@ about the progress of her work	hi @CN@ , @SCN@ is curious about the progress of your work
ask @CN@ did you know the answer	hi @CN@ @SCN@ wants to know whether you know the answer
ask @CN@ , must i do the shopping	hi @CN@ , @SCN@ puzzled if i must do the shopping.
can you ask @CN@ to initiate a new workflow	hey @CN@ , @SCN@ would like you to initiate a new workflow
tell @CN@ that ajith has a brother	hi @CN@ , @SCN@ says that ajith has a brother
ask @CN@ , what have they done?	hi @CN@ , @SCN@ is wondering what they have done
ask @CN@ to wear your gold necklace with that dress.	hi @CN@ , @SCN@ is asking you to wear your gold necklace with that dress.
ask @CN@ did you take any medication	hey @CN@ , @SCN@ questions do you take any medication
remind @CN@ to adjust the pixel size of a photo online	@SCN@ reminds to adjust the pixel size of a photo online
tell @CN@ , the girls are cheating	hey @CN@ , @SCN@ informs you the girls are cheating
ask @CN@ do you expect anything from the company	hey @CN@ , @SCN@ is asking whether you expect anything from the company
ask @CN@ why do we wear shoes	hi @CN@ @SCN@ wants to know why do we wear shoes
ask @CN@ how to overcome acne	hi @CN@ , @SCN@ would like to know how to overcome acne.
please ask @CN@ about the violence on her street	hi @CN@ , @SCN@ needs to know about the violence on your street
ask @CN@ , who did you meet last night	hey @CN@ , @SCN@ wants to know who did you meet last night
tell @CN@ i am participating in the music competition	hi @CN@ , @SCN@ is conveying that they are participating in the music competition
ask @CN@ , can you arrange a birthday party	hey @CN@ , @SCN@ is requesting you to arrange a birthday party
can you tell @CN@ that the love for pastries will never end	hi @CN@ , @SCN@ informs that the love for pastries will never end
ask @CN@ what to speak in the meeting	hey @CN@ , @SCN@ would like to know what to speak in the meeting
tell @CN@ that today is my first anniversary	hey @CN@ , @SCN@ wants to tell that today is their first anniversary
can you tell @CN@ that the circus is in town	hi @CN@ , @SCN@ would like you to know that the circus is in town
can you ask @CN@ , are you nervous?	hey @CN@ , @SCN@ would like to know if you are nervous
we ran out of apple pie.	@CN@, @SCN@ wants you to know they ran out of apple pie.
can you ask @CN@ , where are your shoes?	hi @CN@ , @SCN@ is wondering where are your shoes?
please invite @CN@ to play volleyball	hi @CN@ , @SCN@ wants to invite you to play volleyball
could you ask @CN@ to come home	hi lisa, @SCN@ asks you to come home
ask @CN@ does yogurt go bad if it isn refrigerated?	hey @CN@ @SCN@ would like to know does yogurt go bad if it isn refrigerated
tell @CN@ , i love honey.	hey @CN@ , @SCN@ says i love honey.
tell @CN@ that the call of duty game is interesting	hi @CN@ , @SCN@ tells that the call of duty game is interesting
tell @CN@ to purchase dress for the reception	hi @CN@ , @SCN@ wants you to purchase the dress for the reception
can you ask @CN@ to grab a plate	hi @CN@ , @SCN@ requests you to grab a plate
can you tell @CN@ to cherish the memories	hi @CN@ , @SCN@ wanted you to cherish the memories.
can you remind @CN@ to call the agency and book a cab	hi @CN@, @SCN@ reminds you to call the agency and book a cab
ask @CN@ , are you from vietnam	hi @CN@ , @SCN@ wondered if you are vietnam.
ask @CN@ about his experiance	hi @CN@ , @SCN@ would like to know about your experiance
ask @CN@ on david	hey @CN@ , @SCN@ is curious to know about david
ask @CN@ about his upcoming event dates	hi @CN@ , @SCN@ wishes to know about your upcoming event dates
can you ask @CN@ , is your credit card declined?	hey @CN@ , @SCN@ would like to know if your credit card is declined
ask @CN@ ,can you bring your dog home?	hi @CN@ , @SCN@ would like to know if you can bring your dog home
tell @CN@ thank you for the cat	@CN@, @SCN@ says thank you for the cat
can you ask @CN@ to clean the kitchen	hi @CN@ , @SCN@ demanded you to clean the kitchen.
can you tell @CN@ that sun emits harmful radiation	hi @CN@ , @SCN@ wants you to know that sun emits harmful radiation
can you ask @CN@ to vote for john in the elections	hi @CN@ , @SCN@ asks you to vote for john in the elections
can you ask @CN@ to clean the living room	hey @CN@ , @SCN@ requests you to clean the living room
ask @CN@ , is the chicken roast good	hi @CN@ , @SCN@ asks whether the chicken roast is good
can you ask @CN@ to pick up some sweet on the way hotal	hi @CN@, @SCN@ wants you to pick up some ice cream on the way home.
tell @CN@ to buy a watch	hi @CN@ , @SCN@ wanted you to buy a watch.
can you ask @CN@ , when will you come back from us	hey @CN@ , @SCN@ would like to know when will you come back from us
ask @CN@ , can you read and write a new language	hey @CN@ , @SCN@ is asking whether you can read and write a new language
could you please ask @CN@ to invite peter for the party	hi @CN@ , @SCN@ would like you to invite peter for the party.
can you remind @CN@ to take out the trash	hi @CN@ , @SCN@ is asking you to take out the trash
tell @CN@ to buy iphone 11	hi @CN@ , @SCN@ is requesting you to buy iphone 11
ask @CN@ , have you met my cousin	hi @CN@ , @SCN@ wonders if he has met his cousin.
remind @CN@ to check the similar issues faced by the customers last month	@SCN@ reminds to check the similar issues faced by the customers last month
tell @CN@ , this is a frustrating book to no end.	hey @CN@ , @SCN@ says this is a frustrating book to no end.
can you ask @CN@ to be on time	hi @CN@ , @SCN@ requests you to be on time
tell @CN@ don't eat all the cookies.	hi @CN@ , @SCN@ advices you not to eat all the cookies.
ask @CN@ about the replacement recruitment	hey @CN@ , @SCN@ would like to know about the replacement recruitment
ask @CN@ which team did she pick?	hi @CN@, @SCN@ wants to know which team you picked?
ask @CN@ why does a bird have wings	hi @CN@ @SCN@ is asking why does a bird have wings
can you ask @CN@ , how long will it take?	hi @CN@ , @SCN@ enquires how long will it take?
tell @CN@ , i miss you every night.	hey @CN@ , @SCN@ says they miss you every night.
ask @CN@ , can i talk to you for a minute	hi @CN@ , @SCN@ asked if you could talk to him for a minute.
please ask @CN@ , do you work for the fbi?	hi @CN@ , @SCN@ wanted to know, whether you work for the fbi.
please ask @CN@ how to look after children	hi @CN@ , @SCN@ asked how to look after children.
can you tell @CN@ that few places are adaptive to stay	hi @CN@ , @SCN@ wants to say that few places are adaptive to stay
ask @CN@ are there 80 minutes in an hour?	hi @CN@ @SCN@ wants to know are there 80 minutes in an hour
ask @CN@ for the subject of the book	hi @CN@ , @SCN@ likes to know the subject of the book
ask @CN@, what ball did you throw	hi @CN@, @SCN@ wants to know what ball did you throw
ask @CN@ , do you want me to play guitar?	hey @CN@ , @SCN@ would like to know if you want him to play guitar
ask @CN@ ,where will you park the car?	hey @CN@ , @SCN@ needs to know where will you park the car?
tell @CN@ , the atmosphere in the hotel is very ambient	hey @CN@ , @SCN@ says the atmosphere in the hotel is very ambient
ask @CN@ , is canoe a good restaurant?	hey @CN@ , @SCN@ wants to know if canoe a good restaurant
ask @CN@ , what does he want to eat?	hey @CN@ , @SCN@ is asking what do you want to eat
ask @CN@ about the college application	hey @CN@ , @SCN@ is asking about the college application
tell @CN@, sweets are available at sam's place	hi @CN@, @SCN@ says sweets are available at sam's place
ask @CN@, if you were forced into gladiatorial combat, but could only choose a weapon that isn’t typically considered a weapon, what non-conventional weapon would you choose?	hi @CN@,@SCN@ is asking if you were forced into gladiatorial combat, but could only choose a weapon that isn’t typically considered a weapon, what non-conventional weapon would you choose?
tell @CN@ that there is no traffic near my home	hi @CN@ , @SCN@ wants to tell that there is no traffic near their home
can you tell @CN@ joel would like to have some beer after lunch.	@SCN@ says joel would like to have some beer after lunch.
ask @CN@ to crush the plastic bottles before he throw them	hey @CN@ , @SCN@ wants you to crush the plastic bottles before you throw them
@CN@ to leave the door open for us	hi @CN@. @SCN@ wants to remind you to leave the door open for them
ask @CN@ you had breakfast.	hey @CN@ , @SCN@ questions you had breakfast.
can you tell @CN@ that there is an occasion to be held tomorrow	hi @CN@ , @SCN@ would like to say that there is an occasion to be held tomorrow
can you tell @CN@ that there is wedding tomorrow	hi @CN@ , @SCN@ says that there is wedding tomorrow
ask @CN@ ,is this a good restaurant?	hey @CN@ , @SCN@ would like to know whether it is a good restaurant?
ask @CN@ ,did the repairs to the car cost more than the car was worth	hey @CN@ , @SCN@ would like to know if the repairs to the car cost more than the car was worth
ask @CN@ ,what is your plan tonight	hi @CN@ , @SCN@ is questioning what is your plan tonight
ask @CN@ if he wants me to pick up cheese	hi @CN@ , @SCN@ is asking if you want @SCN@ to pick up cheese
ask @CN@ ,who is the best hockey player in your school?	hi @CN@ , @SCN@ asks who is the best hockey player in your school?
could you ask @CN@ if she had food	hi @CN@ , @SCN@ would like to know if you had food.
can you ask @CN@ how to apply tempered glass to a smartphone	hi @CN@ , @SCN@ wants to know how to apply tempered glass to a smartphone
ask @CN@, can you hear me	hi @CN@, @SCN@ asks whether can you hear me
can you tell @CN@ to borrow library books	hi @CN@ , @SCN@ apprised you to borrow library books.
ask @CN@ do you have blender in your home	hey @CN@, @SCN@ wants to know do you have blender in your home
ask @CN@ , can you please water the plants	hey @CN@ , @SCN@ wants to know if you can water the plants
can you ask @CN@ if she can meet my cousin	hi @CN@ , @SCN@ asks if you can meet her cousin
can you tell @CN@ that people worship different gods	hi @CN@ , @SCN@ wants you to know that people worship different gods
tell @CN@ sarah spends most of her free time watching tv.	hi @CN@, @SCN@ tells sarah spends most of your free time watching tv.
ask @CN@ to come to playing football	hi @CN@ , @SCN@ invites you for playing football
ask @CN@ , do you enjoy videogames	hi @CN@ , @SCN@ wants to know if you enjoy videogames.
can you remind @CN@ to get burger for the family	hi @CN@, @SCN@ reminds you to get burger for the family
ask @CN@ how to judge people by seeing them for the first time?	hey @CN@ , @SCN@ would like to know how to judge people by seeing them for the first time?
ask @CN@ , in which street does he live?	hey @CN@ , @SCN@ would like to know in which street you are living?
can you ask @CN@ to provide the fees earlier	hey @CN@ , @SCN@ wants you to provide the fees earlier
tell @CN@ i have taken extra money	hey @CN@ , @SCN@ wants to convey that they have taken extra money
ask @CN@, which is her favorite color?	hi @CN@, @SCN@ wants to know which is your favorite color
ask @CN@ ,who is your teacher?	hi @CN@ , @SCN@ likes to know who is your teacher?
ask @CN@ , is pasta taste good?	hi @CN@ , @SCN@ would like to know if pasta tastes good
can you ask @CN@ how to jump rope	hi @CN@ , @SCN@ is interested to know how to jump rope
tell @CN@ , polluted nation is industrial.	hey @CN@ , @SCN@ says polluted nation is industrial.
ask @CN@, what kind of diet would you recommend to your friend?	hey @CN@, @SCN@ asks what kind of diet would you recommend to your friend?
ask @CN@ about his favourite cartoon	hey @CN@ , @SCN@ wants to know about your favourite cartoon
please invite @CN@ to go to meeting today	hi @CN@ , @SCN@ wants to invite you to go to meeting today
ask @CN@ ,when did you last see alex?	hey @CN@ , @SCN@ would like to know when did you last see alex?
please invite @CN@ to go to the movies with me	hi @CN@,@SCN@ wants to invite you to go to the movies with them.
can you ask @CN@ , which songs do you like best	hey @CN@ , @SCN@ is wondering which songs you like best
ask @CN@ , did you buy a new cellphone	hi @CN@ , @SCN@ needs to know if you have bought a new cellphone
would you like to come to our party on saturday?	hello @CN@, @SCN@ is inviting you to their party on saturday.
can you ask @CN@ to shut up	hi @CN@ , @SCN@ would like you to shut up.
can you ask @CN@ about chris	hey @CN@ , @SCN@ is asking about chris
ask @CN@ ,does john like surfing?	hi @CN@ , @SCN@ would like to know whether john like surfing?
tell @CN@ to start from his house	hey @CN@ , @SCN@ wants you to start from your house
ask @CN@ ,are we attending party tonight	hey @CN@ , @SCN@ would like to know if we are attending party tonight
ask @CN@ what time you finish with your half dinner and homework	hi @CN@ , @SCN@ is asking what time you finish with your half dinner and homework
ask @CN@ if she has my wallet	hi @CN@, @SCN@ wants to know if you have their wallet.
can you tell @CN@ ,do you like pets?	hi @CN@ , @SCN@ asks if you like pets
ask @CN@ to stop playing music in the living room	hi @CN@ , @SCN@ is asking you to stop playing music in the living room
can you tell @CN@ that the contents are informative	hi @CN@ , @SCN@ informs that the contents are informative
can you ask @CN@ , if she has a laptop?	hi @CN@ , @SCN@ asks whether you have a laptop
could you please ask @CN@ to show the image	hi @CN@ , @SCN@ requested you to show the image.
ask @CN@ , how to construct a swimming pool	hi @CN@ , @SCN@ would like to know how to construct a swimming pool
ask @CN@ about the places he had visited	hi @CN@ , @SCN@ would like to know about the places you have visited
ask @CN@ about the soup recipe	hi @CN@ , @SCN@ wanted to know about the soup recipe.
can you ask @CN@ about her music academy	hey @CN@ , @SCN@ wants to know about your music academy
ask @CN@ , who has the key?	hey @CN@ , @SCN@ is asking who has the key?
ask @CN@ about her plans for this weekend.	hi @CN@, @SCN@ would like to know what your plans are this weekend.
tell @CN@ to dump the garbage	hi @CN@ , @SCN@ requests you to dump the garbage
please tell @CN@ to find my check book.	hello @CN@, @SCN@ would like you to find his checkbook.
ask @CN@ about his new guitar	hey @CN@ , @SCN@ would like to know about the tower near your house
ask @CN@ for the discount details for diwali sale	hi @CN@ , @SCN@ asks about the discount details for diwali sale
tell @CN@ to open the gift carefully	hey @CN@ , @SCN@ is telling you to open the gift carefully
can you ask @CN@ to have a safe trip	hi @CN@ , @SCN@ wanted you to have a safe trip.
ask @CN@ to walk along the street.	hi @CN@, @SCN@ asks you to walk along the street.
can you tell @CN@ that the horror movies are interesting	hi @CN@ , @SCN@ would like to convey that the horror movies are interesting
ask @CN@ to minimize your distractions	hi @CN@ , @SCN@ advices you to minimize your distractions
ask @CN@ how to use air cleaner	hey @CN@ , @SCN@ would like to know how to use air cleaner
please invite @CN@ to go to the wedding.	hi @CN@ , @SCN@ is inviting you to go to the wedding.
can you ask @CN@ to stop playing now	hey @CN@ , @SCN@ requests you to stop playing now
ask @CN@ , whom did you deliver the parcel?	hey @CN@ , @SCN@ is puzzled to whom did you deliver the parcel?
ask @CN@ , did jenny and maya taste the grilled fish	hey @CN@ , @SCN@ is asking whether jenny and maya tasted the grilled fish
